,会社名,タイトル,掲載終了日
559,株式会社KRC | 希望や夢で新たなランドスケープを創造します◎年間休日124日,【建築技術者】★資格持ち優遇★高収入を目指したい方は必見！ 正社員,掲載終了予定日： 2022/02/21
560,有限会社アイデジタル | ◎34歳で年収694万円の実績あり！月8日休み(土日OK)/残業ほぼ0,【販売スタッフ】未経験で高収入を目指せる◆男女問わず活躍中★ 正社員,掲載終了予定日： 2022/03/28
561,株式会社Vヴィズリア | 完全週休2日制★土日祝休み★高インセンで稼げる★20～30代中心,未経験でOK！【人材コーディネーター】★年休125日以上 正社員,掲載終了予定日： 2022/02/21
562,千葉グランディハウス株式会社 | 【東証上場グループ】2/5(土)マイナビ転職フェア(千葉)参加予定,反響対応のみ！未経験も活躍できる【不動産/住宅アドバイザー】 正社員,掲載終了予定日： 2022/02/17
563,ＬＸ　ＰＡＮＴＯＳ　ＪＡＰＡＮ株式会社 | （旧社名：パントスジャパン株式会社）≪LXグループ≫,物流業界経験を活かせる！国際物流の【法人営業】※土日祝休み 正社員,掲載終了予定日： 2022/04/14
564,くにうみＡＩ証券株式会社 | ★くにうみアセットマネジメントグループ,【海外ファンド営業】完全週休2日制（土日祝） 正社員,掲載終了予定日： 2022/04/14
565,株式会社長内水源工業 | 【2022年1月22日（土）『マイナビ転職フェア盛岡』に出展】,年収600万円以上も目指せる！【さく井技術者】☆年休120日以上 正社員,掲載終了予定日： 2022/02/24
566,株式会社鳳陽社 | 日本の優れた商品を海外に輸出する貿易商社,商品の調達を行う【商社営業】◎完全土日祝休み ☆月給30万円～ 正社員,掲載終了予定日： 2022/02/24
567,株式会社ファーストライフ | ニーズが高まる不動産・医療分野で事業を展開！福岡の注目企業◎,《経験者募集》理想の未来をカタチに！【不動産営業】◎学歴不問 正社員,掲載終了予定日： 2022/04/11
568,スリーエムホーム高知株式会社 | 東証一部上場のLIXILグループが手掛ける『アイフルホーム』FC店,アイフルホームの【反響営業】◎完全週休2日制◎月給25万円以上 正社員,掲載終了予定日： 2022/04/11
569,株式会社ウンノハウス | ＼ 賞与年4回！／ GW・夏季・年末年始は5～8日休み！,住宅関連の工事経験を活かす！【アフターメンテナンス】 正社員,掲載終了予定日： 2022/04/07
570,株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...Uターン歓迎!引越代サポート,業績賞与年4回【広告宣伝アシスタント】未経験から活躍できる！ 正社員,掲載終了予定日： 2022/04/07
571,株式会社ウンノハウス | ☆完全週休2日制☆【研修・勉強会などスキルUPできる環境豊富】,分業制なので業務に集中できる！【インテリアコーディネーター】 正社員,掲載終了予定日： 2022/03/28
572,株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...Uターン歓迎!引越代サポート,業績賞与年4回！ワークライフバランスを実現☆【反響営業】 正社員,掲載終了予定日： 2022/03/28
573,株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"安定企業で""オンリーワン""の住まいづくり【住宅設計】 正社員",掲載終了予定日： 2022/03/28
574,株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"オンリーワン""の住まいづくり【住宅施工管理】 正社員",掲載終了予定日： 2022/03/28
575,株式会社プリペアド | 個別指導学院ヒーローズ｜コロナ禍でも生徒数増！2校で100名在籍,未経験の挑戦も歓迎【 教室運営スタッフ 】★教室長候補 正社員,掲載終了予定日： 2022/03/21
576,香川アロー株式会社 | #賞与5ヶ月実績#年収600万円以上も可能,高収入が目指せる!◎LPガス工事の【現場管理】 正社員,掲載終了予定日： 2022/03/07
577,平田機工株式会社 | ＜東証一部上場＞世界のものづくりを支える熊本のグローバル企業,キャリアアップ × 好待遇・高収入／スキルを活かす【製造技術】 正社員,掲載終了予定日： 2022/03/07
578,株式会社アイ工務店 | 《1月22日(土)マイナビ転職フェア大宮に出展予定！》,注文住宅の【反響営業】適正価格が好評！⇒無理なく売りやすい♪ 正社員,掲載終了予定日： 2022/02/14
579,株式会社アイ工務店 | 《1月15日(土)マイナビ転職フェア高崎に出展予定！》,≪群馬限定採用≫注文住宅の【反響営業】★完全週休二日制 正社員,掲載終了予定日： 2022/02/10
580,東京海上日動あんしん生命保険株式会社 | 東京中央第一支社・東京中央第三支社,【ライフパートナー(営業)】東京海上G正社員/賞与4回/転勤無 正社員,掲載終了予定日： 2022/02/10
581,勅使川原産業株式会社 | 大手宅配業務をメインとした運送業界のエキスパート,【物流スタッフ】◆定着率抜群の好環境が魅力◆経験者歓迎 正社員,掲載終了予定日： 2022/02/10
582,株式会社丸松ササキ工業 | ★旭川に根付いて30年 ★毎年受注が増加している堅実な経営,★普通免許があれば挑戦OK！ ★月給30万円～【土木技術者】 正社員,掲載終了予定日： 2022/02/10
583,株式会社バーンフュージョン | 未経験入社の先輩が数多く活躍中｜国家資格取得費用もサポート♪,正社員登用制度有！半導体ウェーハの【品質管理】年間休日180日 契約社員,掲載終了予定日： 2022/02/10
584,株式会社丸松ササキ工業 | ★旭川に根付いて30年 ★毎年受注が増加している堅実な経営,★未経験者が半数以上！ ★月給25万円～【土木作業員】 正社員,掲載終了予定日： 2022/02/10
585,株式会社木村土建 | 【創業91年】企業基盤の安定力抜群！応募者は全員面接します！,★即戦力★ 高収入を目指せる【建築施工管理】※月給40万以上可 正社員,掲載終了予定日： 2022/02/07
586,メットライフ生命保険株式会社 | 大手町エイジェンシーオフィス,賞与年4回！／年間休日121日以上！【コンサルティング営業】 正社員,掲載終了予定日： 2022/02/10
587,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】奈良募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
588,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】茨城募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
589,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛知募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
590,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【営業】神奈川募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
591,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】長野募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
592,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】兵庫募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
593,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】静岡募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
594,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛媛募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
595,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】群馬募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
596,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】福岡募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
597,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】石川募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
598,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】京都募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
599,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】千葉募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
600,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】大阪募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
601,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】埼玉募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
602,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】広島募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
603,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】岐阜募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
604,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】三重募集＊未経験歓迎＊年齢不問 正社員,掲載終了予定日： 2022/01/31
605,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,＼年休127日／【 営業 】中日本エリア募集＊未経験＊年齢不問 正社員,掲載終了予定日： 2022/01/31
606,株式会社エクススタッフ | ■1/22(土)福岡フェア出展します！入社3か月で月収33万円以上！,経験ゼロでいいんです！既存のお客様にきちんと向き合う【営業】 正社員,掲載終了予定日： 2022/01/31
607,信陽機材リース販売株式会社 | 東証1部上場・株式会社ワキタのグループ企業,未経験でも月給23万円以上でスタート【技術スタッフ】年休116日 正社員,掲載終了予定日： 2022/03/28
608,株式会社中央建設コンサルタント | 《 創業58年の安定・老舗企業 》賞与年3回/長期連続休暇あり,沖縄に根差して年収700万円も目指せる！【 技術士 】転勤なし 正社員,掲載終了予定日： 2022/03/21
609,積水ハウスノイエ株式会社 | ★賞与年2回（平均6.44ヵ月分）＋決算賞与／残業月平均30h程度★,待遇もキャリアもワンランク上へ【新築住宅の営業】※経験者募集 正社員,掲載終了予定日： 2022/03/14
610,株式会社ハッピーライフ | ★未経験OK ★完全週休2日制 ／ きれいなオフィスで快適ワーク,お客様にピッタリの住宅会社選び【アドバイザー】☆月給25万円～ 正社員,掲載終了予定日： 2022/03/07
611,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,社会インフラに貢献【プラントエンジニア】※兵庫県限定募集 正社員,掲載終了予定日： 2022/02/17
612,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,東京・北海道・宮城募集【プラント施工監理(機械/元請)】 正社員,掲載終了予定日： 2022/02/17
613,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,【プラント機器エンジニア（詳細設計・手配指示等）】離職率3％ 正社員,掲載終了予定日： 2022/02/17
614,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,【プラントエンジニア（電気・計装機械）】年休128日／離職率3％ 正社員,掲載終了予定日： 2022/02/17
615,株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,九州・兵庫本社募集【プラント施工監理(機械/元請)】年休128日 正社員,掲載終了予定日： 2022/02/17
616,新栄工業株式会社 | 【創業54年】『空調ダクト』製造で大手企業と取引多数の安定企業,未経験でも月給26万円スタート！残業少なめ【取付スタッフ】 正社員,掲載終了予定日： 2022/02/14
617,株式会社幸和ホーム | 1987年創業・アメニティジョイハウスグループの一員　★転勤なし,西海岸風・自由でデザイン性の高い注文住宅の【建築施工管理】 正社員,掲載終了予定日： 2022/02/07
